192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/abc_simbolos_inst_pos.svg HTTP/1.1" 200 2228 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/abc_simbolos_yt_pos.svg HTTP/1.1" 200 1388 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/taphouse.jpg HTTP/1.1" 200 41967 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/ImgGarrafCopModal_DoninhCast.jpg HTTP/1.1" 200 28330 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/ImgGarrafCopModal_MerlAzl.jpg HTTP/1.1" 200 27784 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/ImgGarrafCopModal_CorjBrn.jpg HTTP/1.1" 200 25546 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/ImgGarrafCopModal_RapVerm.jpg HTTP/1.1" 200 30043 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/ImgGarrafCopModal_FalCinz.jpg HTTP/1.1" 200 22996 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/ImgGarrafCopModal_TritLara.jpg HTTP/1.1" 200 11357 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/ImgGarrafCopModal_Petisc.jpg HTTP/1.1" 200 30664 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/bolaabcOnHover.png HTTP/1.1" 200 1714 "http://www.arrabidabeercompany.pt/rodcss/abc_rodstyles.css?v=1.0" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/abc_simbolos_dicas_pos.svg HTTP/1.1" 200 23037 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/abcfuloja.jpg HTTP/1.1" 200 60276 "http://www.arrabidabeercompany.pt/rodcss/abc_rodstyles.css?v=1.0" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/setasesq.png HTTP/1.1" 200 1807 "http://www.arrabidabeercompany.pt/rodcss/abc_rodstyles.css?v=1.0" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/setasdir.png HTTP/1.1" 200 1812 "http://www.arrabidabeercompany.pt/rodcss/abc_rodstyles.css?v=1.0" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/fulojaprinc.jpg HTTP/1.1" 200 73236 "http://www.arrabidabeercompany.pt/rodcss/abc_rodstyles.css?v=1.0" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/futaphouse.jpg HTTP/1.1" 200 85658 "http://www.arrabidabeercompany.pt/rodcss/abc_rodstyles.css?v=1.0" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/contactos_rodapehnew.jpg HTTP/1.1" 200 28695 "http://www.arrabidabeercompany.pt/rodcss/abc_rodstyles.css?v=1.0" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/fucontac.jpg HTTP/1.1" 200 41294 "http://www.arrabidabeercompany.pt/rodcss/abc_rodstyles.css?v=1.0" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /favicon.ico HTTP/1.1" 200 1767 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:34 +0000] "POST / HTTP/1.1" 200 6288 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
